Tiempo (s),Voltaje Medio CH2 (V)
0.023697853088378906,0.0098645
0.047026872634887695,0.0098605
0.0709831714630127,0.0098605
0.09498858451843262,0.0098596
0.1185457706451416,0.0098596
0.14180994033813477,0.0098567
0.16606950759887695,0.0098567
0.18900060653686523,0.0098568
0.21297025680541992,0.0098568
0.23647427558898926,0.0098545
0.2601754665374756,0.0098545
0.28267550468444824,0.0098518
0.3061370849609375,0.0098491
0.3308403491973877,0.0098491
0.35491156578063965,0.0098465
0.37819743156433105,0.0098465
0.4024333953857422,0.0098431
0.4266676902770996,0.0098431
0.4503519535064697,0.0098391
0.47487521171569824,0.0098391
0.49662208557128906,0.0098353
0.5207397937774658,0.0098353
0.5444149971008301,0.0098309
0.5681753158569336,0.0098309
0.591930627822876,0.0098277
0.6150374412536621,0.0098277
0.6390836238861084,0.0098256
0.6621828079223633,0.0098256
0.6861004829406738,0.0098209
0.7103278636932373,0.0098209
0.7343132495880127,0.0098181
0.7581250667572021,0.0098181
0.7841053009033203,0.0098147
0.8081533908843994,0.0098102
0.8325614929199219,0.0098102
0.8561532497406006,0.0098081
0.8802587985992432,0.0098081
0.9047861099243164,0.0098059
0.9285628795623779,0.0098059
0.952488899230957,0.0098035
0.978034257888794,0.0098008
0.9998760223388672,0.0098008
1.0236308574676514,0.0098003
1.0477516651153564,0.0098003
1.0720505714416504,0.0097973
1.094041347503662,0.0097973
1.117030143737793,0.0097967
1.1412112712860107,0.0097967
1.1649203300476074,0.0097949
1.188689947128296,0.0097949
1.2133724689483643,0.0097926
1.237821340560913,0.0097915
1.2606170177459717,0.0097915
1.2842628955841064,0.0097928
1.3083703517913818,0.0097928
1.3347148895263672,0.0097932
1.3587298393249512,0.0097932
1.3820462226867676,0.0097931
1.4059362411499023,0.0097931
1.4304494857788086,0.0097953
1.4547545909881592,0.0097953
1.4777886867523193,0.0097969
1.5025558471679688,0.0097969
1.5263926982879639,0.0098014
1.5504755973815918,0.0098014
1.5731890201568604,0.0098031
1.598297357559204,0.0098031
1.6208515167236328,0.0098062
1.6434822082519531,0.0098083
1.6675918102264404,0.0098083
1.6915054321289062,0.0098107
1.7152395248413086,0.0098107
1.7395589351654053,0.009815
1.7636401653289795,0.009815
1.7859351634979248,0.0098199
1.8106532096862793,0.0098199
1.8345482349395752,0.0098235
1.8581969738006592,0.0098235
1.882319450378418,0.0098253
1.906080961227417,0.0098253
1.930647611618042,0.0098301
1.954766035079956,0.0098347
1.9788703918457031,0.0098347
2.002795934677124,0.009838
2.027566909790039,0.0098427
2.0510170459747314,0.0098427
2.0749027729034424,0.0098468
2.0988528728485107,0.0098468
2.1231939792633057,0.0098487
2.1473405361175537,0.0098487
2.171001672744751,0.0098513
2.194850444793701,0.0098513
2.2192444801330566,0.0098534
2.244027853012085,0.0098534
2.2677552700042725,0.0098559
2.2897398471832275,0.0098559
2.3140623569488525,0.0098581
2.3382694721221924,0.0098581
2.3622629642486572,0.0098591
2.3869776725769043,0.0098591
2.4108691215515137,0.0098601
2.4350781440734863,0.0098601
2.4592702388763428,0.0098619
2.4849140644073486,0.00986
2.508829355239868,0.00986
2.5331060886383057,0.0098601
2.5571110248565674,0.0098601
2.5808231830596924,0.0098578
2.6039819717407227,0.0098578
2.6257877349853516,0.0098555
2.6486399173736572,0.0098555
2.6728715896606445,0.0098541
2.6969335079193115,0.0098541
2.7205324172973633,0.0098509
2.7450814247131348,0.0098509
2.7718968391418457,0.0098495
2.79718017578125,0.0098495
2.8209352493286133,0.0098484
2.8458316326141357,0.0098459
2.869694709777832,0.0098459
2.8942346572875977,0.0098463
2.9162533283233643,0.0098463
2.9423248767852783,0.0098465
2.9669036865234375,0.0098465
2.991055727005005,0.009846
3.013695240020752,0.009846
3.037074089050293,0.0098443
3.0608389377593994,0.0098443
3.0845773220062256,0.0098453
3.1096274852752686,0.0098453
3.134155750274658,0.009845
3.1580662727355957,0.009845
3.181774854660034,0.0098447
3.2056312561035156,0.0098447
3.2284188270568848,0.0098445
3.2502944469451904,0.0098445
3.2734737396240234,0.0098456
3.2976763248443604,0.0098456
3.3244593143463135,0.0098437
3.3481521606445312,0.0098444
3.372661828994751,0.0098444
3.3961381912231445,0.0098447
3.4201040267944336,0.0098447
3.4439640045166016,0.0098447
3.4678056240081787,0.0098447
3.4920742511749268,0.0098453
3.5162899494171143,0.0098453
3.5407803058624268,0.0098447
3.562607526779175,0.0098447
3.5870718955993652,0.0098445
3.6105146408081055,0.0098445
3.6341164112091064,0.0098433
3.6589839458465576,0.0098433
3.680941343307495,0.0098425
3.704092264175415,0.0098425
3.731764793395996,0.0098443
3.7558014392852783,0.0098459
3.782898426055908,0.0098459
3.8072426319122314,0.0098491
3.8313615322113037,0.0098491
3.8550217151641846,0.0098509
3.878713846206665,0.0098509
3.9026248455047607,0.0098525
3.9274721145629883,0.0098525
3.9494807720184326,0.0098539
3.973750352859497,0.0098557
3.9983534812927246,0.0098557
4.022182941436768,0.0098573
4.046251535415649,0.0098573
4.0705037117004395,0.0098569
4.094313859939575,0.0098569
4.11838698387146,0.0098577
4.142978191375732,0.0098577
4.167020320892334,0.0098575
4.19125509262085,0.0098575
4.215349912643433,0.009857
4.239276885986328,0.0098533
4.2643349170684814,0.0098533
4.289201021194458,0.0098522
4.3122076988220215,0.0098522
4.33604884147644,0.0098497
4.3599138259887695,0.0098497
4.383178234100342,0.0098477
4.407128810882568,0.0098477
4.430657148361206,0.0098429
4.455125331878662,0.0098429
4.480062484741211,0.0098405
4.501571893692017,0.0098405
4.52526593208313,0.0098371
4.549394845962524,0.0098371
4.5732104778289795,0.0098306
4.5958685874938965,0.0098247
4.61972713470459,0.0098247
4.643872976303101,0.0098175
4.66606593132019,0.0098175
4.689524173736572,0.0098134
4.714129209518433,0.0098134
4.73728346824646,0.0098073
4.760931491851807,0.0098073
4.785091400146484,0.0097997
4.809238910675049,0.0097997
4.832071542739868,0.0097918
4.855760812759399,0.0097918
4.879374980926514,0.0097857
4.901880741119385,0.0097857
4.924003839492798,0.0097822
4.94565486907959,0.0097822
4.972150564193726,0.0097756
4.995420455932617,0.0097756
5.01831316947937,0.0097707
5.0427165031433105,0.0097707
5.066598176956177,0.0097646
5.090430736541748,0.0097646
5.115627288818359,0.0097622
5.139452934265137,0.009758
5.163642644882202,0.009758
5.189020872116089,0.0097533
5.213430881500244,0.0097533
5.237083673477173,0.0097475
5.261217832565308,0.0097475
5.284759044647217,0.0097428
5.3092100620269775,0.0097428
5.333617448806763,0.0097398
5.357466459274292,0.0097398
5.384337663650513,0.0097366
5.408196687698364,0.0097366
5.432681322097778,0.0097345
5.458479642868042,0.0097345
5.480582237243652,0.009731
5.503759145736694,0.009731
5.527390718460083,0.0097272
5.550268650054932,0.0097272
5.5745134353637695,0.0097253
5.598836421966553,0.0097253
5.623449802398682,0.0097226
5.647665977478027,0.0097226
5.672481298446655,0.0097187
5.6962127685546875,0.0097154
5.721858024597168,0.0097154
5.746638774871826,0.0097124
5.770813941955566,0.0097124
5.794884443283081,0.0097107
5.818671941757202,0.0097087
5.842146635055542,0.0097087
5.864919900894165,0.0097073
5.888462543487549,0.0097073
5.912178039550781,0.0097047
5.936100006103516,0.0097047
5.957807540893555,0.0097043
5.979344129562378,0.0097043
6.0024309158325195,0.0097022
6.0264506340026855,0.0097022
6.0502519607543945,0.0097011
6.0742199420928955,0.0097011
6.0980072021484375,0.0097002
6.120757818222046,0.0097002
6.144068956375122,0.0096986
6.167862892150879,0.0096986
6.191824674606323,0.0096988
6.215664625167847,0.0096982
6.2395477294921875,0.0096982
6.262289047241211,0.0096972
6.286050319671631,0.0096972
6.309688329696655,0.0096961
6.3324079513549805,0.0096961
6.354611873626709,0.0096962
6.379300117492676,0.0096962
6.40330696105957,0.0096965
6.427274942398071,0.0096965
6.4542999267578125,0.0096967
6.4782726764678955,0.0096967
6.5025475025177,0.0096962
6.526185750961304,0.0096962
6.550157308578491,0.0096959
6.574161529541016,0.0096959
6.596246719360352,0.0096969
6.618154525756836,0.0096969
6.642290353775024,0.0096965
6.666456460952759,0.0096965
6.690484523773193,0.0096971
6.71346640586853,0.0096971
6.738441705703735,0.0096964
6.762612819671631,0.0096964
6.786807298660278,0.0096967
6.811110973358154,0.0096967
6.834996223449707,0.0096969
6.858936309814453,0.0096969
6.882385015487671,0.0096989
6.9058837890625,0.0096989
6.929811716079712,0.0097004
6.951527118682861,0.0097004
6.974570274353027,0.0097026
6.999245643615723,0.0097026
7.0212647914886475,0.0097035
7.045519590377808,0.0097035
7.069815158843994,0.0097041
7.093581438064575,0.0097041
7.118339776992798,0.0097053
7.142984867095947,0.0097053
7.169143915176392,0.0097053
7.193556547164917,0.0097058
7.216435432434082,0.0097058
7.23808741569519,0.0097047
7.260314464569092,0.0097047
7.28450345993042,0.009708
7.308013677597046,0.009708
7.332097768783569,0.0097091
7.3564674854278564,0.0097112
7.380610466003418,0.0097112
7.405083656311035,0.0097118
7.430001258850098,0.0097118
7.4538750648498535,0.0097117
7.480562448501587,0.0097117
7.503891706466675,0.0097127
7.531188011169434,0.0097127
7.553419589996338,0.0097138
7.577123165130615,0.0097138
7.598862409591675,0.0097143
7.62128210067749,0.0097139
7.645128011703491,0.0097139
7.6666035652160645,0.0097145
7.688434362411499,0.0097145
7.71259880065918,0.0097152
7.735159873962402,0.0097152
7.756561279296875,0.0097165
7.778431177139282,0.0097165
7.802391052246094,0.0097183
7.8265321254730225,0.0097183
7.851285457611084,0.0097195
7.8784449100494385,0.0097195
7.902114152908325,0.0097207
7.926973581314087,0.0097207
7.951123237609863,0.0097209
7.975304365158081,0.0097209
7.997773170471191,0.0097221
8.021359205245972,0.0097221
8.046021223068237,0.0097223
8.072180271148682,0.0097228
8.096094369888306,0.0097228
8.120784997940063,0.0097218
8.14453649520874,0.0097218
8.168315649032593,0.0097218
8.19098973274231,0.0097218
8.215079307556152,0.0097213
8.24252724647522,0.0097213
8.27194619178772,0.0097207
8.295450448989868,0.0097209
8.31954836845398,0.0097209
8.344543695449829,0.0097215
8.36819839477539,0.0097215
8.39301323890686,0.0097235
8.41715669631958,0.0097235
8.443026542663574,0.0097245
8.46775770187378,0.0097245
8.491933584213257,0.0097266
8.514090538024902,0.0097266
8.537716150283813,0.0097301
8.561619997024536,0.0097301
8.585000991821289,0.0097304
8.611294031143188,0.0097335
8.635371685028076,0.0097335
8.658984899520874,0.0097354
8.682198762893677,0.0097353
8.70728850364685,0.0097353
8.731347560882568,0.0097364
8.75515079498291,0.0097362
8.779305458068848,0.0097362
8.804097175598145,0.0097366
8.828421831130981,0.0097366
8.852742195129395,0.0097371
8.877310276031494,0.0097371
8.901602029800415,0.0097384
8.928268194198608,0.0097384
8.95275092124939,0.0097391
8.975924730300903,0.0097391
9.001936674118042,0.0097393
9.026110649108887,0.0097393
9.05089783668518,0.0097396
9.075422763824463,0.0097417
9.100478410720825,0.0097417
9.126878261566162,0.0097443
9.15160846710205,0.0097443
9.176261901855469,0.0097467
9.201582908630371,0.0097467
9.225876808166504,0.0097481
9.249811887741089,0.0097481
9.27355408668518,0.0097497
9.298063278198242,0.0097497
9.322134017944336,0.0097499
9.345773220062256,0.0097499
9.36985731124878,0.0097537
9.393900871276855,0.0097537
9.419895648956299,0.0097551
9.443535566329956,0.0097551
9.469609022140503,0.0097564
9.49403166770935,0.0097564
9.521474599838257,0.0097581
9.546104192733765,0.0097592
9.570262670516968,0.0097592
9.594485521316528,0.0097611
9.619906187057495,0.0097611
9.643375873565674,0.0097628
9.671594142913818,0.0097628
9.694349765777588,0.0097659
9.717617511749268,0.0097659
9.74078893661499,0.0097673
9.763619184494019,0.0097673
9.791909217834473,0.0097694
9.815752744674683,0.0097707
9.83993935585022,0.0097707
9.864494323730469,0.0097713
9.887949466705322,0.0097713
9.912888526916504,0.0097739
9.936891078948975,0.0097739
9.961631774902344,0.0097749
9.983816623687744,0.0097749
10.007354497909546,0.0097761
10.032219171524048,0.0097761
10.05595850944519,0.0097774
10.079154014587402,0.0097774
10.10122561454773,0.0097783
10.12528109550476,0.0097783
