Tiempo (s),Voltaje Medio CH2 (V)
0.024393796920776367,0.0099701
0.057501792907714844,0.0099697
0.09036755561828613,0.0099702
0.12471866607666016,0.0099693
0.15867400169372559,0.0099694
0.19166135787963867,0.0099693
0.22621464729309082,0.0099693
0.26012635231018066,0.0099675
0.2948577404022217,0.0099668
0.3298823833465576,0.0099668
0.3647651672363281,0.0099669
0.40154409408569336,0.0099669
0.4383249282836914,0.0099673
0.4725213050842285,0.0099686
0.5070819854736328,0.0099676
0.5396161079406738,0.0099689
0.575545072555542,0.0099679
0.6102545261383057,0.009967
0.644355297088623,0.009967
0.6798417568206787,0.0099653
0.7128441333770752,0.009965
0.7486367225646973,0.0099651
0.7829093933105469,0.0099651
0.8184075355529785,0.0099644
0.8535189628601074,0.0099653
0.8862819671630859,0.0099638
0.9229176044464111,0.0099638
0.958005428314209,0.0099637
0.9917247295379639,0.0099638
1.0258474349975586,0.0099622
1.0598511695861816,0.0099622
1.094604730606079,0.0099622
1.129342794418335,0.0099627
1.165337085723877,0.0099646
1.2003991603851318,0.0099646
1.2342619895935059,0.0099645
1.2686057090759277,0.0099643
1.3016831874847412,0.0099641
1.3343679904937744,0.0099641
1.3676974773406982,0.0099653
1.4011764526367188,0.0099647
1.435042381286621,0.0099669
1.4690334796905518,0.0099677
1.5015792846679688,0.0099677
1.535334587097168,0.0099678
1.5711889266967773,0.0099685
1.604644775390625,0.0099684
1.6391468048095703,0.0099684
1.673532247543335,0.0099703
1.7081797122955322,0.00997
1.7414586544036865,0.0099713
1.7753469944000244,0.0099713
1.8109455108642578,0.0099717
1.8437161445617676,0.0099732
1.8781306743621826,0.0099729
1.911482572555542,0.0099729
1.946019172668457,0.0099746
1.9804799556732178,0.0099731
2.012803077697754,0.009975
2.0452466011047363,0.009975
2.079988718032837,0.0099739
2.114232301712036,0.0099729
2.1491754055023193,0.0099721
2.1830105781555176,0.0099717
2.2166976928710938,0.009969
2.2500195503234863,0.009969
2.285654067993164,0.0099652
2.320284128189087,0.0099601
2.3533010482788086,0.0099533
2.387845516204834,0.0099533
2.4234461784362793,0.0099435
2.4581258296966553,0.0099354
2.4930365085601807,0.0099292
2.5273821353912354,0.0099292
2.5619874000549316,0.0099111
2.5965938568115234,0.0098909
2.6311988830566406,0.0098708
2.664337158203125,0.0098527
2.6989619731903076,0.0098527
2.730668783187866,0.0098445
2.7634193897247314,0.0098313
2.7988433837890625,0.0098195
2.83315110206604,0.0098195
2.867624044418335,0.0098107
2.9014878273010254,0.0098015
2.93656849861145,0.0097938
2.9724106788635254,0.0097897
3.0083394050598145,0.0097897
3.0430235862731934,0.0097828
3.0766992568969727,0.0097738
3.112762928009033,0.0097699
3.1469147205352783,0.0097593
3.1820502281188965,0.0097593
3.2163145542144775,0.0097494
3.251786470413208,0.0097402
3.2861969470977783,0.0097353
3.3221075534820557,0.0097285
3.356665849685669,0.0097285
3.3912034034729004,0.009725
3.4251677989959717,0.0097247
3.459212303161621,0.0097262
3.4941723346710205,0.0097338
3.530519723892212,0.0097338
3.56382155418396,0.009743
3.5994927883148193,0.0097487
3.633528470993042,0.0097569
3.667239189147949,0.0097621
3.702146530151367,0.0097621
3.736689567565918,0.009765
3.7703301906585693,0.0097645
3.804565668106079,0.0097627
3.837679147720337,0.0097627
3.8718814849853516,0.0097589
3.906184673309326,0.0097589
3.940648078918457,0.0097596
3.9734785556793213,0.0097655
4.008215665817261,0.0097655
4.043645858764648,0.0097675
4.0785298347473145,0.0097613
4.1134772300720215,0.0097577
4.1464080810546875,0.0097577
4.183406591415405,0.0097609
4.217926979064941,0.0097681
4.252132415771484,0.0097741
4.284785270690918,0.0097741
4.318398475646973,0.0097738
4.351067066192627,0.0097708
4.385672569274902,0.0097655
4.41853404045105,0.0097655
4.453245162963867,0.0097594
4.488147735595703,0.0097569
4.52312445640564,0.0097523
4.556452751159668,0.0097505
4.59137749671936,0.0097497
4.626428127288818,0.0097497
4.660519123077393,0.0097465
4.6942267417907715,0.0097447
4.728128671646118,0.0097447
4.762094974517822,0.0097423
4.795010566711426,0.0097415
4.830221891403198,0.0097388
4.864467620849609,0.0097388
4.899337530136108,0.0097361
4.933181285858154,0.0097313
4.967473983764648,0.0097255
5.000036716461182,0.0097181
5.034265756607056,0.0097181
5.067077875137329,0.0097153
5.102071046829224,0.0097098
5.1359312534332275,0.0097073
5.170626401901245,0.0097035
5.205597400665283,0.0097035
5.241211891174316,0.0097022
5.27534294128418,0.0097045
5.3113226890563965,0.0097113
5.347999572753906,0.0097205
5.383291006088257,0.0097205
5.416079044342041,0.0097316
5.450364351272583,0.0097379
5.48326849937439,0.0097517
5.51711368560791,0.0097601
5.551510334014893,0.0097619
5.587407350540161,0.0097619
5.621288537979126,0.0097627
5.656532049179077,0.0097616
5.689228773117065,0.0097589
5.725268363952637,0.0097589
5.760324001312256,0.0097557
5.794665575027466,0.0097538
5.8317131996154785,0.0097559
5.865003347396851,0.0097613
5.897151470184326,0.0097646
5.93156361579895,0.0097646
5.966301202774048,0.0097655
5.999175548553467,0.0097632
6.032995223999023,0.0097582
6.06572699546814,0.0097582
6.100381135940552,0.0097614
6.135740756988525,0.0097667
6.170958518981934,0.0097687
6.206521034240723,0.0097687
6.241494178771973,0.0097659
6.275659799575806,0.0097607
6.308726072311401,0.009757
6.342007398605347,0.009757
6.376590013504028,0.0097513
6.4114601612091064,0.0097481
6.446763753890991,0.0097468
6.4793970584869385,0.0097463
6.513120651245117,0.0097463
6.5464911460876465,0.0097441
6.580444574356079,0.0097418
6.614155054092407,0.0097411
6.649850368499756,0.0097404
6.684380292892456,0.0097404
6.720363140106201,0.0097379
6.754650592803955,0.0097365
6.78770112991333,0.0097355
6.821571350097656,0.0097324
6.855793237686157,0.0097324
6.891643285751343,0.0097281
6.926054239273071,0.0097235
6.95995306968689,0.0097217
6.994153738021851,0.0097168
7.029455184936523,0.0097168
7.0624003410339355,0.0097143
7.096074819564819,0.0097138
7.131357669830322,0.0097138
7.165803909301758,0.0097154
7.199966907501221,0.009717
7.234121084213257,0.0097239
7.2690534591674805,0.0097353
7.304223537445068,0.0097353
7.338651180267334,0.0097467
7.373099088668823,0.0097591
7.405750274658203,0.0097673
7.439991474151611,0.0097703
7.4751808643341064,0.0097703
7.513036489486694,0.0097739
7.547720909118652,0.0097729
7.5820817947387695,0.0097715
7.616731405258179,0.0097679
7.651730298995972,0.0097631
7.691423416137695,0.0097631
7.726018905639648,0.0097609
7.760108947753906,0.0097635
7.7947022914886475,0.0097703
7.829728841781616,0.0097703
7.864200115203857,0.0097723
7.898248672485352,0.0097705
7.932147979736328,0.0097662
7.965683698654175,0.0097662
8.003288745880127,0.0097678
8.037222385406494,0.0097743
8.071463108062744,0.0097752
8.10695767402649,0.0097751
8.138836860656738,0.0097751
8.17310643196106,0.0097705
8.209805727005005,0.0097649
8.244024276733398,0.0097595
8.27801251411438,0.0097595
8.312665700912476,0.0097541
8.346911191940308,0.0097503
8.38052487373352,0.0097488
8.414863109588623,0.0097467
8.449659824371338,0.0097467
8.485210418701172,0.0097443
8.520553350448608,0.009742
8.555501461029053,0.0097414
8.590178728103638,0.0097414
8.625708818435669,0.0097372
8.660146951675415,0.0097343
8.693786382675171,0.0097293
8.726311445236206,0.0097293
8.76050090789795,0.0097252
8.793513536453247,0.0097207
8.827595710754395,0.0097207
8.861853122711182,0.0097175
8.89938235282898,0.0097159
8.933592081069946,0.0097125
8.967622518539429,0.0097106
9.001227140426636,0.0097106
9.034458637237549,0.0097102
9.069884538650513,0.0097135
9.10589599609375,0.0097191
9.14029574394226,0.0097191
9.174856662750244,0.0097233
9.207531452178955,0.0097349
9.24078369140625,0.0097349
9.275691270828247,0.0097485
9.310369968414307,0.0097609
9.345504522323608,0.0097684
9.378871202468872,0.0097684
9.413596153259277,0.0097723
9.448486804962158,0.0097722
9.482829570770264,0.0097707
9.517613410949707,0.0097707
9.551914930343628,0.0097664
9.587984323501587,0.0097649
9.624074220657349,0.0097619
9.660616636276245,0.0097623
9.69510555267334,0.0097623
9.73225474357605,0.0097671
9.76491665840149,0.0097685
9.799252033233643,0.0097633
9.832809209823608,0.0097633
9.865103721618652,0.0097583
9.899053573608398,0.0097627
9.932928562164307,0.0097657
9.965310096740723,0.0097657
10.000280380249023,0.0097683
10.03378176689148,0.0097671
10.06779670715332,0.0097617
10.100950956344604,0.0097617
10.134747743606567,0.0097541
10.168628215789795,0.0097469
10.203226089477539,0.0097443
10.237633466720581,0.0097443
10.272984981536865,0.0097403
10.30892014503479,0.0097379
10.343031883239746,0.0097353
10.375457763671875,0.0097353
10.410434007644653,0.0097336
10.443027019500732,0.0097301
10.477408409118652,0.0097261
10.51241159439087,0.0097221
10.547438383102417,0.0097221
10.582255601882935,0.0097213
10.616844177246094,0.0097189
10.650972366333008,0.0097165
10.683743953704834,0.0097165
10.717231750488281,0.0097125
10.750848770141602,0.0097083
10.78393840789795,0.0097083
10.818423509597778,0.0097067
10.852452039718628,0.0097044
10.886498928070068,0.0097037
10.921186447143555,0.0097061
10.955414295196533,0.0097061
10.988224267959595,0.009708
11.023955345153809,0.0097145
11.057806968688965,0.0097245
11.091948747634888,0.0097316
11.124584674835205,0.0097316
11.158116817474365,0.0097441
11.19296407699585,0.0097568
11.22688341140747,0.009764
11.260219812393188,0.009764
11.294785499572754,0.0097675
11.328788757324219,0.009768
11.362785577774048,0.0097656
11.39699649810791,0.0097656
11.43215012550354,0.0097618
11.46676754951477,0.0097571
11.503715753555298,0.0097542
11.539697647094727,0.0097542
11.57407259941101,0.0097545
11.608952522277832,0.0097584
11.643126249313354,0.0097611
11.677294492721558,0.0097595
11.713505268096924,0.0097595
11.74837875366211,0.0097526
11.78019642829895,0.0097503
11.816064834594727,0.0097513
11.850578308105469,0.0097513
11.882712125778198,0.0097569
11.916922569274902,0.0097565
11.950241804122925,0.0097522
11.984842300415039,0.0097522
12.019978284835815,0.0097472
12.054489612579346,0.0097417
12.089725017547607,0.0097405
12.124238967895508,0.0097405
12.157618761062622,0.0097383
12.193297147750854,0.0097355
12.225107192993164,0.0097347
12.260223388671875,0.0097347
12.295623064041138,0.0097323
12.330392122268677,0.0097303
12.364604234695435,0.0097277
12.39913272857666,0.0097278
12.431091785430908,0.0097278
12.466440200805664,0.0097274
12.500144481658936,0.0097255
12.532875776290894,0.0097255
12.566999673843384,0.0097241
12.599745512008667,0.0097213
12.631758451461792,0.0097196
12.664786100387573,0.0097196
12.699416875839233,0.0097177
12.73373818397522,0.0097159
12.768399953842163,0.0097147
12.802665948867798,0.0097145
12.836951494216919,0.0097145
12.870757102966309,0.0097162
12.904295682907104,0.0097205
12.938814163208008,0.0097205
12.97269606590271,0.0097247
13.006057739257812,0.0097371
13.038872957229614,0.0097505
13.073915719985962,0.0097633
13.109598875045776,0.0097633
13.14367151260376,0.0097721
13.177493810653687,0.009776
13.212097644805908,0.0097763
13.249831676483154,0.0097763
13.28316855430603,0.009775
13.316631317138672,0.0097697
13.351064682006836,0.0097648
13.38670563697815,0.0097623
13.42295789718628,0.0097623
13.459961414337158,0.0097611
13.496270895004272,0.009761
13.530779838562012,0.0097643
13.563215017318726,0.0097643
13.597312688827515,0.0097673
13.633251667022705,0.0097589
13.668925046920776,0.0097553
13.70328164100647,0.0097556
13.73664140701294,0.0097556
13.769718170166016,0.0097577
13.804142951965332,0.0097593
13.838042736053467,0.0097562
13.873228311538696,0.0097562
13.907845497131348,0.0097536
13.941572189331055,0.0097467
13.97660779953003,0.0097396
14.010372400283813,0.0097396
14.044710159301758,0.009734
14.080177545547485,0.0097309
14.114072322845459,0.0097309
14.148733615875244,0.0097301
14.183708667755127,0.0097279
14.219615936279297,0.0097281
14.25295615196228,0.0097281
14.288137435913086,0.0097254
14.322805166244507,0.0097245
14.357516288757324,0.0097233
14.391513109207153,0.0097233
14.426778554916382,0.0097226
14.461894512176514,0.0097195
14.498279333114624,0.009718
14.532915830612183,0.0097167
14.56706166267395,0.0097167
14.601020574569702,0.0097154
14.637659549713135,0.0097136
14.671959400177002,0.0097135
14.709473609924316,0.0097143
14.744388818740845,0.0097143
14.779232263565063,0.0097156
14.81235671043396,0.0097205
14.84714388847351,0.0097293
14.880824327468872,0.0097293
14.91431450843811,0.0097421
14.947359323501587,0.0097561
14.979493618011475,0.0097675
15.015619993209839,0.0097731
15.051194190979004,0.0097731
15.083254337310791,0.0097783
15.116302251815796,0.0097803
15.151966571807861,0.0097793
15.184381246566772,0.0097759
15.217387199401855,0.0097744
15.250410318374634,0.0097744
15.284610033035278,0.0097673
15.31959867477417,0.0097628
15.354339838027954,0.0097615
15.389424800872803,0.0097615
15.422820091247559,0.0097621
15.457303524017334,0.0097638
15.49150013923645,0.0097665
15.525401592254639,0.0097665
15.560252666473389,0.0097591
15.59498643875122,0.0097525
15.628887176513672,0.0097524
15.663379907608032,0.0097524
15.698161125183105,0.0097529
15.732840061187744,0.0097545
15.766314029693604,0.0097497
15.801001787185669,0.0097497
15.834997653961182,0.0097428
15.86895227432251,0.0097355
15.903778553009033,0.0097355
15.938759565353394,0.0097307
15.972902297973633,0.0097255
16.00837469100952,0.0097242
16.041529655456543,0.0097242
