Tiempo (s),Voltaje CH1 (V)
-0.05,-302.1845223625572
-0.0499,-302.1845246825688
-0.049800000000000004,-302.1845223625572
-0.0497,-302.1845471182363
-0.049600000000000005,-302.1845465760116
-0.0495,-302.1845440248877
-0.0494,-302.1845458026744
-0.049300000000000004,-302.1845212025514
-0.0492,-302.1845221314427
-0.049100000000000005,-302.1845242959002
-0.049,-302.1845216647737
-0.048900000000000006,-302.1845468871245
-0.0488,-302.1845473493488
-0.0487,-302.1845441004437
-0.048600000000000004,-302.1845459582305
-0.0485,-302.1845210469973
-0.048400000000000006,-302.1845217447741
-0.0483,-302.1845242203465
-0.0482,-302.1845222870035
-0.048100000000000004,-302.1845246070151
-0.048,-302.184523060334
-0.047900000000000005,-302.1845467315677
-0.0478,-302.1845460337869
-0.047700000000000006,-302.1845212025514
-0.0476,-302.1845219003349
-0.0475,-302.1845243759006
-0.047400000000000005,-302.1845244514543
-0.0473,-302.1845222070031
-0.047200000000000006,-302.1845228247795
-0.0471,-302.1845471182363
-0.047,-302.1845460337869
-0.046900000000000004,-302.1845210469973
-0.0468,-302.18452158922
-0.046700000000000005,-302.1845240647857
-0.0466,-302.1845221314427
-0.0465,-302.1845245270147
-0.046400000000000004,-302.1845229047799
-0.0463,-302.1845472737931
-0.046200000000000005,-302.1845459582305
-0.0461,-302.18454332710667
-0.046,-302.1845447182245
-0.0459,-302.1845214336659
-0.0458,-302.1845247625692
-0.045700000000000005,-302.1845223625572
-0.0456,-302.1845221314427
-0.0455,-302.1845478915735
-0.0454,-302.1845465004559
-0.0453,-302.1845440248877
-0.045200000000000004,-302.1845456471183
-0.0451,-302.1845211269977
-0.045000000000000005,-302.1845220514423
-0.0449,-302.1845244514543
-0.0448,-302.1845225181113
-0.044700000000000004,-302.1845471937927
-0.0446,-302.184546189343
-0.044500000000000005,-302.1845438693314
-0.0444,-302.1845455715619
-0.044300000000000006,-302.18452127810514
-0.0442,-302.1845242959002
-0.0441,-302.18452158922
-0.044000000000000004,-302.184522593665
-0.0439,-302.1845468071241
-0.043800000000000006,-302.1845463448991
-0.0437,-302.1845438693314
-0.0436,-302.1845456471183
-0.043500000000000004,-302.1845213581055
-0.0434,-302.1845222070031
-0.043300000000000005,-302.1845243759006
-0.0432,-302.1845219003349
-0.0431,-302.1845469626802
-0.043000000000000003,-302.1845460337869
-0.0429,-302.1845436382191
-0.042800000000000005,-302.1845459582305
-0.0427,-302.1845215136663
-0.0426,-302.1845219758886
-0.0425,-302.1845247625692
-0.0424,-302.1845218203345
-0.042300000000000004,-302.1845467315677
-0.0422,-302.1845465760116
-0.0421,-302.1845449537815
