Tiempo (s),Voltaje CH1 (V)
-0.05,-302.1845443315559
-0.0499,-302.184546189343
-0.049800000000000004,-302.1845464204555
-0.0497,-302.1845444115563
-0.049600000000000005,-302.1845458026744
-0.0495,-302.1845445671127
-0.0494,-302.1845454915615
-0.049300000000000004,-302.1845444115563
-0.0492,-302.1845221314427
-0.049100000000000005,-302.1845465004559
-0.049,-302.1845461137873
-0.048900000000000006,-302.1845448737809
-0.0488,-302.1845460337869
-0.0487,-302.1845444871123
-0.048600000000000004,-302.1845457271187
-0.0485,-302.1845441004437
-0.048400000000000006,-302.1845456471183
-0.0483,-302.1845217447741
-0.0482,-302.1845228247795
-0.048100000000000004,-302.1845462693434
-0.048,-302.1845460337869
-0.047900000000000005,-302.1845440248877
-0.0478,-302.1845460337869
-0.047700000000000006,-302.1845447982249
-0.0476,-302.1845457271187
-0.0475,-302.1845218203345
-0.047400000000000005,-302.1845227492258
-0.0473,-302.1845463448991
-0.047200000000000006,-302.1845441804441
-0.0471,-302.1845458026744
-0.047,-302.1845458026744
-0.046900000000000004,-302.1845446426686
-0.0468,-302.184546189343
-0.046700000000000005,-302.1845218203345
-0.0466,-302.1845222870035
-0.0465,-302.1845465760116
-0.046400000000000004,-302.1845441804441
-0.0463,-302.1845458026744
-0.046200000000000005,-302.1845444115563
-0.0461,-302.184546189343
-0.046,-302.1845454915615
-0.0459,-302.1845219003349
-0.0458,-302.18452267367206
-0.045700000000000005,-302.1845462693434
-0.0456,-302.1845448737809
-0.0455,-302.1845461137873
-0.0454,-302.1845460337869
-0.0453,-302.1845448737809
-0.045200000000000004,-302.1845455715619
-0.0451,-302.1845221314427
-0.045000000000000005,-302.18452267367206
-0.0449,-302.1845470426806
-0.0448,-302.1845458826748
-0.044700000000000004,-302.1845445671127
-0.0446,-302.1845456471183
-0.044500000000000005,-302.1845444115563
-0.0444,-302.1845458826748
-0.044300000000000006,-302.1845222870035
-0.0442,-302.1845224381109
-0.0441,-302.1845462693434
-0.044000000000000004,-302.1845458826748
-0.0439,-302.1845445671127
-0.043800000000000006,-302.1845461137873
-0.0437,-302.1845446426686
-0.0436,-302.1845459582305
-0.043500000000000004,-302.1845436382191
-0.0434,-302.1845219758886
-0.043300000000000005,-302.1845465760116
-0.0432,-302.1845459582305
-0.0431,-302.1845446426686
-0.043000000000000003,-302.1845446426686
-0.0429,-302.1845460337869
-0.042800000000000005,-302.1845456471183
-0.0427,-302.184544256
-0.0426,-302.1845225181113
-0.0425,-302.1845465760116
-0.0424,-302.1845461137873
-0.042300000000000004,-302.184544256
-0.0422,-302.184546189343
-0.0421,-302.1845444871123
-0.042,-302.1845440248877
-0.04190000000000001,-302.1845460337869
-0.041800000000000004,-302.1845218203345
-0.0417,-302.1845463448991
-0.0416,-302.184546656012
