Tiempo (s),Voltaje CH1 (V)
-0.041100000000000005,-902.1845368604097
-0.041,-902.1845365848483
-0.040900000000000006,-902.1845284337008
-0.0408,-902.1845377848563
-0.0407,-902.1845316470503
-0.040600000000000004,-902.1845276648037
-0.0405,-902.1845357670709
-0.040400000000000005,-902.184530589265
-0.0403,-902.1845366959622
-0.0402,-902.1845367804093
-0.040100000000000004,-902.1845280248056
-0.04,-902.1845374737461
-0.039900000000000005,-902.1845314203825
-0.0398,-902.1845274292492
-0.0397,-902.1845358737381
-0.0396,-902.1845359537385
-0.0395,-902.1845303314838
-0.039400000000000004,-902.1845367137423
-0.0393,-902.1845281181393
-0.0392,-902.1845374292992
-0.0391,-902.184531655937
-0.039,-902.1845274692494
-0.038900000000000004,-902.1845333937257
-0.0388,-902.1845360692924
-0.0387,-902.1845306959322
-0.0386,-902.1845369181833
-0.038500000000000006,-902.184528104806
-0.038400000000000004,-902.1845376737444
-0.0383,-902.1845320203855
-0.038200000000000005,-902.1845323359404
-0.0381,-902.1845274159158
-0.038000000000000006,-902.1845278692514
-0.0379,-902.1845361581795
-0.0378,-902.1845367848493
-0.037700000000000004,-902.1845281536995
-0.0376,-902.1845283848073
-0.037500000000000006,-902.18453757152
-0.0374,-902.1845321448261
-0.0373,-902.1845273848023
-0.037200000000000004,-902.1845277448041
-0.0371,-902.1845359137383
-0.037000000000000005,-902.1845369137433
-0.0369,-902.1845281181393
-0.0368,-902.1845281981397
-0.0367,-902.1845374515193
-0.0366,-902.1845348026194
-0.036500000000000005,-902.1845275003628
-0.0364,-902.1845276292502
-0.0363,-902.1845361981797
-0.0362,-902.1845308025994
-0.0361,-902.1845367359624
-0.036000000000000004,-902.1845283759206
-0.0359,-902.1845375626332
-0.0358,-902.1845350381739
-0.0357,-902.1845313759356
-0.0356,-902.1845273270287
-0.035500000000000004,-902.1845362026264
-0.0354,-902.184530789266
-0.0353,-902.1845367315157
-0.0352,-902.1845284737011
-0.035100000000000006,-902.1845375804132
-0.035,-902.1845375893
-0.0349,-902.1845316159367
-0.034800000000000005,-902.184527273695
-0.0347,-902.1845360159588
-0.034600000000000006,-902.1845308203795
-0.0345,-902.1845368248495
-0.0344,-902.1845364026274
-0.0343,-902.184528189253
-0.0342,-902.1845374026324
-0.034100000000000005,-902.1845314914896
-0.034,-902.1845275714699
-0.0339,-902.1845362648467
-0.033800000000000004,-902.1845308025994
-0.0337,-902.1845370470772
-0.033600000000000005,-902.1845366426286
-0.0335,-902.1845280248056
-0.0334,-902.1845377759676
-0.0333,-902.1845316114901
-0.0332,-902.1845273448021
-0.033100000000000004,-902.1845362915135
-0.033,-902.1845307003789
-0.0329,-902.1845367626293
-0.0328,-902.1845365937417
-0.03270000000000001,-902.1845282425866
-0.032600000000000004,-902.184537727078
-0.0325,-902.1845316159367
-0.0324,-902.1845273581355
-0.0323,-902.1845361270726
-0.032200000000000006,-902.1845307448191
-0.032100000000000004,-902.1845365315147
-0.032,-902.1845367137423
-0.0319,-902.1845282781401
-0.0318,-902.1845380204128
-0.031700000000000006,-902.1845314914896
-0.0316,-902.1845273536954
-0.0315,-902.1845359092916
-0.0314,-902.1845306870455
-0.0313,-902.1845366515153
-0.031200000000000002,-902.1845367270757
-0.031100000000000003,-902.1845281625862
-0.031000000000000003,-902.1845376959672
-0.0309,-902.1845316203835
-0.0308,-902.1845272959152
-0.0307,-902.1845359670718
-0.030600000000000002,-902.1845360515123
-0.030500000000000003,-902.184530789266
-0.030400000000000003,-902.1845369670768
-0.0303,-902.1845280203655
-0.0302,-902.1845375759666
-0.030100000000000002,-902.184531522603
-0.030000000000000002,-902.184532189273
-0.029900000000000003,-902.1845274025824
-0.0298,-902.1845360692924
-0.0297,-902.1845306959322
-0.0296,-902.1845368692964
-0.029500000000000002,-902.1845282203665
-0.029400000000000003,-902.1845378515233
-0.029300000000000003,-902.1845314692694
-0.0292,-902.1845319581585
-0.0291,-902.1845273092486
-0.029,-902.1845274070291
-0.028900000000000002,-902.1845359804053
-0.028800000000000003,-902.1845366070751
-0.028700000000000003,-902.1845282514734
-0.0286,-902.1845282781401
-0.0285,-902.1845377448561
-0.0284,-902.1845352292881
-0.028300000000000002,-902.1845275759166
-0.028200000000000003,-902.1845275270297
-0.028100000000000003,-902.1845360870725
-0.028,-902.1845365670749
-0.0279,-902.1845304825978
-0.027800000000000002,-902.1845280692525
-0.027700000000000002,-902.1845376870785
-0.027600000000000003,-902.1845351359544
-0.0275,-902.1845276159167
-0.0274,-902.1845276025834
-0.0273,-902.1845359981787
-0.027200000000000002,-902.1845310426006
-0.027100000000000003,-902.1845367670759
-0.027000000000000003,-902.1845280736991
-0.0269,-902.1845378293012
-0.0268,-902.1845351092876
-0.0267,-902.1845315759366
-0.026600000000000002,-902.1845272914685
-0.026500000000000003,-902.1845362781801
-0.026400000000000003,-902.1845307848193
-0.0263,-902.1845368915165
-0.0262,-902.1845365670749
-0.0261,-902.1845280248056
-0.026000000000000002,-902.1845375804132
-0.025900000000000003,-902.184531522603
-0.0258,-902.1845274514693
-0.0257,-902.1845359937387
-0.0256,-902.1845306514853
-0.025500000000000002,-902.1845367270757
-0.025400000000000002,-902.1845364870745
-0.025300000000000003,-902.1845280114721
-0.0252,-902.1845375626332
-0.0251,-902.184531455936
-0.025,-902.1845273270287
-0.024900000000000002,-902.1845359404051
-0.024800000000000003,-902.1845306337119
-0.024700000000000003,-902.1845366070751
-0.0246,-902.1845367448491
-0.0245,-902.1845281981397
-0.0244,-902.1845376826338
-0.024300000000000002,-902.1845314737161
-0.024200000000000003,-902.184527322582
-0.0241,-902.1845361181793
-0.024,-902.1845306025984
-0.0239,-902.1845366470753
-0.0238,-902.184536638182
-0.023700000000000002,-902.1845282292531
-0.023600000000000003,-902.184537922635
-0.0235,-902.1845317314907
-0.0234,-902.184527455916
-0.0233,-902.1845360204055
-0.023200000000000002,-902.184530740379
-0.023100000000000002,-902.1845365181813
-0.023000000000000003,-902.1845367315157
-0.0229,-902.1845280336989
-0.0228,-902.184537722634
-0.0227,-902.1845315714899
-0.022600000000000002,-902.1845277092506
-0.022500000000000003,-902.184535789291
-0.0224,-902.1845358826248
-0.0223,-902.1845306248185
-0.0222,-902.1845367626293
-0.0221,-902.1845282737
-0.022000000000000002,-902.1845376781891
-0.021900000000000003,-902.1845315626032
-0.0218,-902.1845273448021
-0.0217,-902.1845334959462
-0.0216,-902.1845360648457
-0.021500000000000002,-902.184530589265
-0.021400000000000002,-902.1845367626293
-0.021300000000000003,-902.1845281848064
-0.0212,-902.1845374204125
-0.0211,-902.1845317314907
-0.021,-902.1845322159398
-0.020900000000000002,-902.1845273936957
-0.020800000000000003,-902.1845275359163
-0.0207,-902.1845359270717
-0.0206,-902.1845367670759
-0.0205,-902.1845283181403
-0.0204,-902.1845288870364
-0.020300000000000002,-902.1845377759676
-0.020200000000000003,-902.1845324381609
-0.0201,-902.1845275403631
-0.02,-902.1845278470313
-0.0199,-902.1845361981797
-0.0198,-902.184536740409
-0.019700000000000002,-902.1845281759196
-0.019600000000000003,-902.1845279403651
-0.0195,-902.1845375537465
-0.0194,-902.1845353181753
-0.0193,-902.1845275714699
-0.019200000000000002,-902.1845275625832
-0.019100000000000002,-902.1845359404051
-0.019000000000000003,-902.1845306914855
-0.0189,-902.1845369048499
-0.0188,-902.1845276114701
-0.0187,-902.1845376293002
-0.0186,-902.1845351315077
-0.018500000000000003,-902.1845315981567
-0.0184,-902.1845273803623
-0.018300000000000004,-902.1845362781801
-0.0182,-902.1845307537125
-0.018099999999999998,-902.1845368515163
-0.018000000000000002,-902.184527922585
-0.0179,-902.1845376381889
